greeninnovation,integrity,quality,respect,teamwork,document_length,Doc_ID
53,22,61,16,13,1423,3570-13/3/2014
153,23,99,13,21,2460,3570-20/5/2014
86,16,41,5,5,2035,3570-29/5/2014
12,0,5,1,0,941,3570-17/9/2014
65,17,43,7,10,1867,3570-25/11/2014
50,7,24,5,5,1486,3570-24/2/2015
36,11,20,4,1,942,3570-6/3/2015
45,16,35,6,6,1638,3570-2/6/2015
56,7,34,2,3,1785,3570-17/11/2015
19,17,20,3,3,1375,3570-25/11/2015
45,13,18,3,5,1824,3570-25/2/2016
69,24,42,19,15,2183,3570-2/6/2016
55,16,18,8,8,2184,3570-15/9/2016
60,5,36,11,3,1858,3570-23/11/2016
73,14,61,9,14,1919,3570-22/2/2017
68,50,40,19,17,1937,3570-15/3/2017
22,11,18,6,1,1278,3570-26/5/2017
89,28,79,14,10,2128,3570-14/9/2017
73,15,46,17,4,2155,3570-28/11/2017
88,10,45,12,9,2143,3570-21/2/2018
90,15,38,6,6,2195,3570-24/5/2018
55,20,26,11,6,2073,3570-24/9/2018
47,20,37,23,2,1463,3570-18/1/2019
78,18,49,12,0,2066,3570-28/2/2019
73,39,28,20,3,1620,3570-18/3/2019
77,30,39,20,7,2075,3570-12/6/2019
80,11,38,10,9,2192,3570-23/9/2019
87,32,29,18,8,2015,3570-2/12/2019
81,26,36,10,9,2168,3570-6/3/2020
81,26,47,43,14,2169,3570-23/6/2020
103,25,69,39,11,2258,3570-15/10/2020
35,17,27,6,9,2116,3594-5/6/2012
17,7,4,4,1,794,3622-29/6/2010
45,14,7,4,3,1039,3622-12/8/2010
15,4,1,2,0,701,3622-9/11/2010
12,11,7,2,0,738,3622-10/2/2011
28,17,13,5,1,1667,3622-20/5/2011
25,11,4,2,2,750,3622-13/6/2011
17,15,6,2,1,747,3622-17/8/2011
25,13,7,3,1,913,3622-17/11/2011
51,18,11,4,5,1495,3622-16/2/2012
64,18,11,4,2,1756,3622-20/6/2012
24,6,5,0,0,816,3622-16/8/2012
9,20,3,1,0,699,3622-14/11/2012
11,13,5,4,1,548,3622-13/2/2013
28,17,17,7,3,1478,3622-19/6/2013
35,12,7,1,3,755,3622-14/8/2013
59,11,10,0,0,1081,3622-6/11/2013
18,5,2,0,0,751,3622-13/2/2014
12,8,3,2,1,543,3622-18/6/2014
15,3,7,0,2,635,3622-13/8/2014
16,15,10,2,1,857,3622-12/11/2014
22,4,2,1,4,915,3622-11/2/2015
12,7,9,8,1,791,3622-12/6/2015
7,2,3,1,0,357,3622-12/8/2015
19,9,4,1,0,619,3622-18/11/2015
19,7,4,0,0,751,3622-9/2/2016
14,10,7,2,0,1013,3622-10/6/2016
11,2,3,1,2,525,3622-11/8/2016
24,7,8,1,3,783,3622-17/11/2016
26,6,9,0,0,1087,3622-16/2/2017
25,10,25,3,0,1110,3622-15/6/2017
24,3,13,3,1,705,3622-15/8/2017
26,8,8,1,1,983,3622-21/11/2017
24,3,16,3,0,1135,3622-9/2/2018
22,2,8,2,0,1120,3622-14/6/2018
